,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
126,Mongolia,10,4.0,0.0,0.0,0.0,10,0.0,3.0,3278000.0,46.862496,103.84665600000001,0.0003050640634533252,0.0,100.0,0.0
127,Ethiopia,9,0.0,0.0,0.0,0.0,9,0.0,0.08,114964000.0,9.145,40.489672999999996,7.828537629170872e-06,0.0,100.0,0.0
128,Kenya,7,0.0,0.0,0.0,0.0,7,0.0,0.1,53771000.0,-0.023559,37.906193,1.3018169645347865e-05,0.0,100.0,0.0
129,U.S. Virgin Islands,6,3.0,0.0,0.0,0.0,6,0.0,57.0,104000.0,18.335765,-64.896335,0.005769230769230769,0.0,100.0,0.0
130,Guyana,5,0.0,1.0,0.0,0.0,4,0.0,6.0,787000.0,4.860416000000001,-58.93018000000001,0.0006353240152477764,0.0,80.0,20.0
131,Aruba,5,0.0,0.0,0.0,1.0,4,0.0,47.0,107000.0,12.52111,-69.968338,0.004672897196261682,20.0,80.0,0.0
132,Gabon,4,0.0,1.0,0.0,0.0,3,0.0,2.0,2226000.0,-0.803689,11.609444,0.00017969451931716083,0.0,75.0,25.0
133,Saint Martin,4,0.0,0.0,0.0,0.0,4,0.0,103.0,39000.0,18.073099,-63.082198999999996,0.010256410256410256,0.0,100.0,0.0
134,Suriname,4,0.0,0.0,0.0,0.0,4,0.0,7.0,587000.0,3.9193050000000005,-56.02778299999999,0.0006814310051107325,0.0,100.0,0.0
135,Cayman Islands,3,0.0,1.0,0.0,0.0,2,0.0,46.0,66000.0,19.513469,-80.566956,0.004545454545454545,0.0,66.66666666666666,33.33333333333333
136,Curaçao,3,0.0,1.0,0.0,0.0,2,0.0,18.0,164000.0,12.16957,-68.990021,0.0018292682926829267,0.0,66.66666666666666,33.33333333333333
137,Namibia,3,0.0,0.0,0.0,0.0,3,0.0,1.0,2541000.0,-22.957639999999998,18.49041,0.0001180637544273908,0.0,100.0,0.0
138,St. Barth,3,0.0,0.0,0.0,0.0,3,0.0,304.0,10000.0,17.896179999999998,-62.84978,0.03,0.0,100.0,0.0
